"ï»¿""R""",P,AgencyType,Source Url,Url,Column 6,Agency,Details
,,Food Bank,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=32+Dufferin+St.,+Fort+Erie,+ON&sll=49.891235,-97.15369&sspn=44.813761,79.013672&ie=UTF8&hq=&hnear=32+Dufferin+St,+Fort+Erie,+Niagara+Regional+Municipality,+Ontario+L2A+2T4&z=16",,Community Outreach Program Erie (COPE),32 Dufferin St.;905-871-2526;Monday-Thursday: 8:30 a.m. - 4 p.m.;Friday: 8:30 a.m. - 3 p.m.
,,Food Bank,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=255+Gilmore+Rd.,+Fort+Erie,+ON&sll=49.891235,-97.15369&sspn=44.813761,79.013672&ie=UTF8&hq=&hnear=255+Gilmore+Rd,+Fort+Erie,+Niagara+Regional+Municipality,+Ontario+L2A+4C2&z=16",,The Salvation Army: Community and Family Services,"255 Gilmore Rd.;905-871-1592;Monday, Wednesday, Friday: noon - 4 p.m."
,,Food Bank,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=56+Ridgeway+Rd.,+Fort+Erie,+ON&sll=49.891235,-97.15369&sspn=44.813761,79.013672&ie=UTF8&hq=&hnear=56+Ridgeway+Rd,+Fort+Erie,+Niagara+Regional+Municipality,+Ontario+L0S+1B0&z=16",,St. George Catholic Church,"56 Ridgeway Rd.;905-894-2853;Monday, Wednesday, Friday: 10 a.m. - noon"
,,Food Bank,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?q=40+Elm+Street,+Grimsby,+Ontario&hl=en&sll=42.883294,-79.243738&sspn=0.011698,0.019248&vpsrc=0&hnear=40+Elm+St,+Grimsby,+Ontario+L3M+3J6&t=m&z=16",,Grimsby Benevolent Fund,40 Elm St.;905-309-5664;Monday-Friday: 10 a.m. - 2 p.m.
,,Food Bank,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=4309+Central+Ave.,+Lincoln,+ON&sll=43.165947,-79.474798&sspn=0.012301,0.01929&ie=UTF8&hq=&hnear=4309+Central+Ave,+Lincoln,+Niagara+Regional+Municipality,+Ontario&z=16",,Community Care West Niagara,4309 Central Ave.;905-563-5822;Tuesday and Wednesday: 9 a.m. - 3 p.m.;Thursday: 11 a.m. - 3 p.m.;Friday: 9 a.m. - noon
,,Food Bank,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=6846+Frederica+St.,+Niagara+Falls,+ON&sll=43.044389,-79.284692&sspn=0.012326,0.01929&ie=UTF8&hq=&hnear=6846+Frederica+St,+Niagara+Falls,+Niagara+Regional+Municipality,+Ontario+L2G+1E2&z=16",,Niagara Worship Centre,Offers a food pantry at all worship services;6846 Frederica St. (at Dorchester Rd.);905-356-0635
,,Food Bank,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=4129+Stanley+Ave+Unit+2,+Niagara+Falls,+ON&sll=49.891235,-97.15369&sspn=44.813761,79.013672&ie=UTF8&hq=&hnear=4129+Stanley+Ave+%232,+Niagara+Falls,+Niagara+Regional+Municipality,+Ontario+L2E+4Z4&z",,Project SHARE,"4129 Stanley Ave., Unit 2 (across from Palmer Park);905-357-5121;Monday - Friday: 8:30 a.m. - 4:30 p.m."
,,Food Bank,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=5720+Dorchester+Rd.,+Niagara+Falls,+ON&sll=49.891235,-97.15369&sspn=44.813761,79.013672&ie=UTF8&hq=&hnear=5720+Dorchester+Rd,+Niagara+Falls,+Niagara+Regional+Municipality,+Ontario+L2G+5S6&z=16",,The Salvation Army,5720 Dorchester Rd.;905-358-8394;Tuesday: 1 - 4 p.m.;By appointment only
,,Food Bank,http://niagararegion.ca/social-services/food-for-all.aspx#1,"http://maps.google.ca/maps?f=q&source=s_q&hl=en&geocode=&q=310+John+St.+E.,+Niagara-on-the-Lake,+ON&sll=49.891235,-97.15369&sspn=44.813761,79.013672&ie=UTF8&hq=&hnear=310+John+St+E,+Niagara-on-the-Lake,+Niagara+Regional+Municipality,+Ontario+L0S+1J0&z=16",,Newark Neighbors,"Last driveway before the parkway on the right (Riverbend Inn property).;310 John St. East;905-468-3519;Monday, Tuesday, Thursday, Friday, Sunday: 9:30 a.m. - 2 p.m. (open Sundays from April to Thanksgiving only)"
,,Food Bank,http://niagararegion.ca/social-services/food-for-all.aspx#1,"https://www.google.ca/maps/place/191+Hwy+20+E,+Welland,+ON+L3B+5N5/@43.0508436,-79.2707664,17z/data=!3m1!4b1!4m2!3m1!1s0x89d3494970d9a4e3:0xa40858ebe8c572d3",,Pelham Cares Inc.,191 Hwy 20 East.;905-892-5300;Monday - Friday: 8:30 a.m. - noon;(afternoons by appointment)
